STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/9/1948,,,,,0,0,0,,78,52,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/10/1948,,,,,0,0,0,,83,55,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/11/1948,,,,,0.04,0,0,,79,58,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/12/1948,,,,,0.42,0,0,,63,54,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/13/1948,,,,,0,0,0,,77,50,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/14/1948,,,,,0,0,0,,73,53,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/15/1948,,,,,0,0,0,,62,51,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/16/1948,,,,,0,0,0,,70,53,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/17/1948,,,,,0,0,0,,74,49,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/18/1948,,,,,0,0,0,,82,58,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/19/1948,,,,,0,0,0,,63,51,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/20/1948,,,,,0,0,0,,76,48,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/21/1948,,,,,0.33,0,0,,80,62,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/22/1948,,,,,0.04,0,0,,88,67,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/23/1948,,,,,0.79,0,0,,88,64,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/24/1948,,,,,0.12,0,0,,82,69,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/25/1948,,,,,0,0,0,,85,65,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/26/1948,,,,,0,0,0,,86,63,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/27/1948,,,,,0.64,0,0,,81,69,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/28/1948,,,,,0.29,0,0,,88,68,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/29/1948,,,,,0.02,0,0,,78,64,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",6/30/1948,,,,,0,0,0,,75,57,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/1/1948,,,,,0,0,0,,75,53,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/2/1948,,,,,0,0,0,,93,63,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/3/1948,,,,,0,0,0,,93,69,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/4/1948,,,,,0,0,0,,87,65,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/5/1948,,,,,0,0,0,,87,69,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/6/1948,,,,,0,0,0,,86,64,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/7/1948,,,,,0,0,0,,78,60,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/8/1948,,,,,0,0,0,,82,61,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/9/1948,,,,,0,0,0,,89,62,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/10/1948,,,,,0.21,0,0,,90,69,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/11/1948,,,,,0,0,0,,90,69,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/12/1948,,,,,1.07,0,0,,91,69,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/13/1948,,,,,0,0,0,,80,70,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/14/1948,,,,,0.27,0,0,,72,62,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/15/1948,,,,,0,0,0,,80,66,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/16/1948,,,,,0,0,0,,87,69,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/17/1948,,,,,0,0,0,,89,69,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/18/1948,,,,,0,0,0,,83,63,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/19/1948,,,,,0,0,0,,84,67,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/20/1948,,,,,0,0,0,,91,68,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/21/1948,,,,,0.96,0,0,,89,70,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/22/1948,,,,,0.13,0,0,,88,69,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/23/1948,,,,,0,0,0,,73,60,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/24/1948,,,,,0,0,0,,81,57,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/25/1948,,,,,0.45,0,0,,83,61,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/26/1948,,,,,0,0,0,,86,69,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/27/1948,,,,,0.07,0,0,,87,66,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/28/1948,,,,,0,0,0,,83,62,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/29/1948,,,,,0,0,0,,90,62,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/30/1948,,,,,0.02,0,0,,83,66,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",7/31/1948,,,,,0,0,0,,82,59,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",8/1/1948,,,,,0,0,0,,80,62,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",8/2/1948,,,,,0,0,0,,79,58,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",8/3/1948,,,,,0.04,0,0,,76,63,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",8/4/1948,,,,,0.73,0,0,,71,61,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",8/5/1948,,,,,0,0,0,,73,55,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",8/6/1948,,,,,0,0,0,,77,50,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",8/7/1948,,,,,0,0,0,,78,61,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",8/8/1948,,,,,0.13,0,0,,72,63,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",8/9/1948,,,,,0,0,0,,81,64,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",8/10/1948,,,,,0,0,0,,88,63,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",8/11/1948,,,,,0.48,0,0,,79,65,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",8/12/1948,,,,,0,0,0,,86,64,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",8/13/1948,,,,,0.29,0,0,,75,62,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",8/14/1948,,,,,0,0,0,,78,60,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",8/15/1948,,,,,0,0,0,,79,57,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",8/16/1948,,,,,0.04,0,0,,85,57,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",8/17/1948,,,,,0.67,0,0,,80,60,
